"State.Name","Year","Deaths","State_ID","LogDeaths","ExistingPolicy","Law","LawDateforMap","LawDate","LawDateMonth","MedicaidPolicyDate","MedicaidPolicyDateMonth","AnyPolicyDateforMap","AnyPolicyDate","ExistingPDMP","PhysicianDensity2009","PhysicianDensity2019","Pop2010","Pop2020","Pop2022","AgeAdjDeathRate","AvgTemp","PoliticalLeaning"
"Kansas",2021,70,16,4.26267987704132,0,0,0,0,0,0,0,0,0,0,24,26.9,2853118,2937847,2937150,790.4,55.7333333333333,"Republicans"
"Kansas",2022,89,16,4.49980967033027,0,0,0,0,0,0,0,0,0,0,24,26.9,2853118,2937847,2937150,790.4,55.7333333333333,"Republicans"
"Kentucky",2015,70,17,4.26267987704132,1,1,2017,2017,201706,0,0,2017,2017,1,23.1,25.4,4339367,4505893,4512310,947.2,57.2555555555556,"Republicans"
"Kentucky",2016,100,17,4.61512051684126,1,1,2017,2017,201706,0,0,2017,2017,1,23.1,25.4,4339367,4505893,4512310,947.2,57.2555555555556,"Republicans"
"Kentucky",2017,99,17,4.60517018598809,1,1,2017,2017,201706,0,0,2017,2017,1,23.1,25.4,4339367,4505893,4512310,947.2,57.2555555555556,"Republicans"
"Kentucky",2018,83,17,4.43081679884331,1,1,2017,2017,201706,0,0,2017,2017,1,23.1,25.4,4339367,4505893,4512310,947.2,57.2555555555556,"Republicans"
"Kentucky",2019,59,17,4.0943445622221,1,1,2017,2017,201706,0,0,2017,2017,1,23.1,25.4,4339367,4505893,4512310,947.2,57.2555555555556,"Republicans"
"Kentucky",2020,147,17,4.99721227376411,1,1,2017,2017,201706,0,0,2017,2017,1,23.1,25.4,4339367,4505893,4512310,947.2,57.2555555555556,"Republicans"
"Kentucky",2021,170,17,5.14166355650266,1,1,2017,2017,201706,0,0,2017,2017,1,23.1,25.4,4339367,4505893,4512310,947.2,57.2555555555556,"Republicans"
"Kentucky",2022,129,17,4.86753445045558,1,1,2017,2017,201706,0,0,2017,2017,1,23.1,25.4,4339367,4505893,4512310,947.2,57.2555555555556,"Republicans"
"Louisiana",2015,16,18,2.83321334405622,0,1,2017,2018,201708,2018,201707,2017,2018,1,25.3,29.2,4533372,4657749,4590241,905.1,68.1777777777778,"Republicans"
"Louisiana",2016,20,18,3.04452243772342,0,1,2017,2018,201708,2018,201707,2017,2018,1,25.3,29.2,4533372,4657749,4590241,905.1,68.1777777777778,"Republicans"
"Louisiana",2017,27,18,3.3322045101752,0,1,2017,2018,201708,2018,201707,2017,2018,1,25.3,29.2,4533372,4657749,4590241,905.1,68.1777777777778,"Republicans"
"Louisiana",2018,15,18,2.77258872223978,0,1,2017,2018,201708,2018,201707,2017,2018,1,25.3,29.2,4533372,4657749,4590241,905.1,68.1777777777778,"Republicans"
"Louisiana",2019,27,18,3.3322045101752,0,1,2017,2018,201708,2018,201707,2017,2018,1,25.3,29.2,4533372,4657749,4590241,905.1,68.1777777777778,"Republicans"
"Louisiana",2020,76,18,4.34380542185368,0,1,2017,2018,201708,2018,201707,2017,2018,1,25.3,29.2,4533372,4657749,4590241,905.1,68.1777777777778,"Republicans"
"Louisiana",2021,89,18,4.49980967033027,0,1,2017,2018,201708,2018,201707,2017,2018,1,25.3,29.2,4533372,4657749,4590241,905.1,68.1777777777778,"Republicans"
"Louisiana",2022,108,18,4.69134788222914,0,1,2017,2018,201708,2018,201707,2017,2018,1,25.3,29.2,4533372,4657749,4590241,905.1,68.1777777777778,"Republicans"
"Maine",2015,0,19,0,0,1,2017,2017,201701,2018,201709,2017,2017,0,31.5,34.5,1328361,1362341,1385340,764,42.7666666666667,"Democrat"
"Maine",2016,17,19,2.89037175789616,0,1,2017,2017,201701,2018,201709,2017,2017,0,31.5,34.5,1328361,1362341,1385340,764,42.7666666666667,"Democrat"
"Maine",2017,19,19,2.99573227355399,0,1,2017,2017,201701,2018,201709,2017,2017,0,31.5,34.5,1328361,1362341,1385340,764,42.7666666666667,"Democrat"
"Maine",2018,11,19,2.484906649788,0,1,2017,2017,201701,2018,201709,2017,2017,0,31.5,34.5,1328361,1362341,1385340,764,42.7666666666667,"Democrat"
"Maine",2019,20,19,3.04452243772342,0,1,2017,2017,201701,2018,201709,2017,2017,0,31.5,34.5,1328361,1362341,1385340,764,42.7666666666667,"Democrat"
"Maine",2020,27,19,3.3322045101752,0,1,2017,2017,201701,2018,201709,2017,2017,0,31.5,34.5,1328361,1362341,1385340,764,42.7666666666667,"Democrat"
"Maine",2021,27,19,3.3322045101752,0,1,2017,2017,201701,2018,201709,2017,2017,0,31.5,34.5,1328361,1362341,1385340,764,42.7666666666667,"Democrat"
"Maine",2022,39,19,3.68887945411394,0,1,2017,2017,201701,2018,201709,2017,2017,0,31.5,34.5,1328361,1362341,1385340,764,42.7666666666667,"Democrat"
"Maryland",2015,101,20,4.62497281328427,0,1,2017,2017,201705,2019,201807,2017,2017,0,39.9,41,5773552,6177213,6164660,736.7,56.4666666666667,"Democrat"
"Maryland",2016,230,20,5.44241771052179,0,1,2017,2017,201705,2019,201807,2017,2017,0,39.9,41,5773552,6177213,6164660,736.7,56.4666666666667,"Democrat"
"Maryland",2017,234,20,5.45958551414416,0,1,2017,2017,201705,2019,201807,2017,2017,0,39.9,41,5773552,6177213,6164660,736.7,56.4666666666667,"Democrat"
"Maryland",2018,165,20,5.11198778835654,0,1,2017,2017,201705,2019,201807,2017,2017,0,39.9,41,5773552,6177213,6164660,736.7,56.4666666666667,"Democrat"
"Maryland",2019,165,20,5.11198778835654,0,1,2017,2017,201705,2019,201807,2017,2017,0,39.9,41,5773552,6177213,6164660,736.7,56.4666666666667,"Democrat"
"Maryland",2020,166,20,5.11799381241676,0,1,2017,2017,201705,2019,201807,2017,2017,0,39.9,41,5773552,6177213,6164660,736.7,56.4666666666667,"Democrat"
"Maryland",2021,158,20,5.06890420222023,0,1,2017,2017,201705,2019,201807,2017,2017,0,39.9,41,5773552,6177213,6164660,736.7,56.4666666666667,"Democrat"
"Maryland",2022,124,20,4.8283137373023,0,1,2017,2017,201705,2019,201807,2017,2017,0,39.9,41,5773552,6177213,6164660,736.7,56.4666666666667,"Democrat"
